wikidata,studentCount,studentYear,establishedYear,officialWebsite
Q4852575,,,1931,
Q109919244,,,2020,
Q141194593,,,2010,https://care.ac.in/architecture
Q3117947,1307,,1992,https://yschools.fr
Q5051423,,,1961,
Q141195004,,,,https://doa.sarawak.gov.my/web/subpage/webpage_view/836
Q138460589,,,1997,https://tamazunchale.tecnm.mx/itstmz/
Q30644602,,,2010,
Q52848214,,,1985,
Q7286777,,,2010,https://rru.ac.in
Q12297235,,,1953,
Q12603476,,,1978,https://www.suncheon.ac.kr
Q15622432,,,2005,
Q30294598,,,,
Q10771887,,,1974,
Q30254206,,,1723,
Q30263972,,,2011,
Q30294376,,,,
Q28163392,,,2017,https://teknokrat.ac.id/
Q140127974,,,,https://universitelumumba.org
Q5263500,23051,,1966,
Q7060311,1132,,1941,
Q7896706,,,1990,
Q5065626,,,2003,
Q7934659,5738,,1966,
Q19744759,,,1963,https://www.unisapalu.ac.id
Q7165808,,,1996,
Q7896145,1117,,1963,https://www.upb.pitt.edu/
Q1032195,,,1961,https://en.usports.ca
Q107477962,,,2022,https://unilesa.edu.ng/
Q30293884,,,,
Q4705896,,,2020,https://aiu.edu.eg/
Q19732763,,,2011,https://www.sttaa.ac.id
Q109913269,,,2019,https://www.uqgresik.ac.id
Q136448424,,,2023,https://lcdr.edu.ly
Q16909285,,,2010,https://niu.edu.in
Q1634051,19000,,1824,https://www.unitru.edu.pe/
Q4744941,,,1964,
Q1481050,,,1964,https://london.edu
Q7896279,733,,1908,
Q6930281,6812,,1966,
Q4852849,111084,,,https://bcps.org/
Q14917448,,,1965,
Q20464496,,,1969,
Q136663546,,,2019,https://www.exhistuniversity.com
Q127415556,,,2020,https://recentglobe.uni-leipzig.de
Q6121200,,,2005,
Q1453964,300,,1928,
Q4838040,,,2010,https://bbdu.ac.in/
Q5370252,,,1926,https://daytonabeach.erau.edu/
Q685781,2058,,1994,
Q105809850,3089,,2021,https://www.clermont-auvergne-inp.fr/
Q127513675,,,1984,
Q11985322,,,1996,
Q1707609,,,2006,https://www.unicv.edu.cv
Q18467872,,,1970,
Q4115992,,,1997,https://www.aus.edu/
Q4743138,55,,1924,
Q1388299,,,1994,https://www.fh-wien.ac.at/
Q70026348,,,2000,https://www.iteshu.edu.mx/
Q137943588,,,2013,https://kicd.ac.ke
Q1805202,3399,,1845,https://www.bw.edu/
Q1666981,3278,,1886,https://www.jcu.edu/
Q1026846,22440,,1901,https://www.calpoly.edu/
Q12523391,,,2000,https://unismuhluwuk.ac.id
Q30294715,,,,https://univalabuhanbatu.ac.id.
Q5396930,,,1934,
Q981752,,,1579,
Q16095567,,,1981,
Q7296496,,,1962,https://www.ravensbourne.ac.uk/
Q7830890,,,1981,https://www.toyota-ti.ac.jp/
Q137795921,,,2017,https://isuc.edu.ec
Q138860219,,,2014,https://www.bauinternational.edu.ge
Q627418,,,2006,
Q17513636,,,1970,https://www.dgsd.us/
Q6859616,1338,,1866,https://www.milligan.edu/
Q1472315,23295,,1960,
Q97223095,,,2014,https://poltekad.ac.id
Q30293821,,,,
Q7896681,,,1975,
Q4766090,,,2005,
Q30294337,,,,
